Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[beomi/KoAlpaca-v1.1a] 21155개 예제
[nlpai-lab/kullm-v2] 152630개 예제
train 167505 / val 1691 예제
베이스 모델: checkpoints/base_1b/latest.pt (step 23999)
총 5234 steps (2 epochs)
SFT 전 val loss (베이스 모델): 1.3236
epoch 0 step 0/5234 | loss 1.4906 | lr 4.00e-07 | 4s
epoch 0 step 10/5234 | loss 1.2727 | lr 4.40e-06 | 42s
epoch 0 step 20/5234 | loss 1.5199 | lr 8.40e-06 | 80s
epoch 0 step 30/5234 | loss 1.4222 | lr 1.24e-05 | 117s
epoch 0 step 40/5234 | loss 1.3426 | lr 1.64e-05 | 154s
epoch 0 step 50/5234 | loss 1.3774 | lr 2.00e-05 | 191s
epoch 0 step 60/5234 | loss 1.4917 | lr 2.00e-05 | 228s
epoch 0 step 70/5234 | loss 1.4014 | lr 2.00e-05 | 267s
epoch 0 step 80/5234 | loss 1.3963 | lr 2.00e-05 | 302s
epoch 0 step 90/5234 | loss 1.3001 | lr 2.00e-05 | 338s
epoch 0 step 100/5234 | loss 1.1353 | lr 2.00e-05 | 377s
epoch 0 step 110/5234 | loss 1.2348 | lr 2.00e-05 | 416s
epoch 0 step 120/5234 | loss 1.2655 | lr 2.00e-05 | 454s
epoch 0 step 130/5234 | loss 1.2983 | lr 2.00e-05 | 491s
epoch 0 step 140/5234 | loss 1.4559 | lr 2.00e-05 | 527s
epoch 0 step 150/5234 | loss 1.1640 | lr 2.00e-05 | 566s
epoch 0 step 160/5234 | loss 1.6264 | lr 2.00e-05 | 603s
epoch 0 step 170/5234 | loss 1.1478 | lr 2.00e-05 | 641s
epoch 0 step 180/5234 | loss 1.2831 | lr 2.00e-05 | 677s
epoch 0 step 190/5234 | loss 1.2552 | lr 2.00e-05 | 714s
epoch 0 step 200/5234 | loss 1.2153 | lr 2.00e-05 | 751s
epoch 0 step 210/5234 | loss 1.3619 | lr 2.00e-05 | 789s
epoch 0 step 220/5234 | loss 1.1514 | lr 2.00e-05 | 827s
epoch 0 step 230/5234 | loss 1.3165 | lr 1.99e-05 | 863s
epoch 0 step 240/5234 | loss 1.4349 | lr 1.99e-05 | 899s
epoch 0 step 250/5234 | loss 1.3350 | lr 1.99e-05 | 938s
epoch 0 step 260/5234 | loss 1.2466 | lr 1.99e-05 | 974s
epoch 0 step 270/5234 | loss 1.2352 | lr 1.99e-05 | 1013s
epoch 0 step 280/5234 | loss 1.4651 | lr 1.99e-05 | 1050s
epoch 0 step 290/5234 | loss 1.0860 | lr 1.99e-05 | 1089s
epoch 0 step 300/5234 | loss 1.1740 | lr 1.99e-05 | 1126s
epoch 0 step 310/5234 | loss 1.1800 | lr 1.99e-05 | 1163s
epoch 0 step 320/5234 | loss 1.2593 | lr 1.99e-05 | 1201s
epoch 0 step 330/5234 | loss 1.4346 | lr 1.99e-05 | 1239s
epoch 0 step 340/5234 | loss 1.4329 | lr 1.99e-05 | 1276s
epoch 0 step 350/5234 | loss 1.5082 | lr 1.99e-05 | 1311s
epoch 0 step 360/5234 | loss 1.3021 | lr 1.98e-05 | 1347s
epoch 0 step 370/5234 | loss 1.2249 | lr 1.98e-05 | 1384s
epoch 0 step 380/5234 | loss 1.4428 | lr 1.98e-05 | 1420s
epoch 0 step 390/5234 | loss 1.3190 | lr 1.98e-05 | 1457s
epoch 0 step 400/5234 | loss 1.1777 | lr 1.98e-05 | 1494s
epoch 0 step 410/5234 | loss 1.1934 | lr 1.98e-05 | 1533s
epoch 0 step 420/5234 | loss 1.2199 | lr 1.98e-05 | 1570s
epoch 0 step 430/5234 | loss 1.3803 | lr 1.98e-05 | 1606s
epoch 0 step 440/5234 | loss 1.4328 | lr 1.97e-05 | 1644s
epoch 0 step 450/5234 | loss 1.1275 | lr 1.97e-05 | 1680s
epoch 0 step 460/5234 | loss 1.2979 | lr 1.97e-05 | 1719s
epoch 0 step 470/5234 | loss 1.3472 | lr 1.97e-05 | 1757s
epoch 0 step 480/5234 | loss 1.3736 | lr 1.97e-05 | 1794s
epoch 0 step 490/5234 | loss 1.3835 | lr 1.97e-05 | 1832s
epoch 0 step 500/5234 | loss 1.3919 | lr 1.97e-05 | 1870s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 500)
epoch 0 step 510/5234 | loss 1.4817 | lr 1.97e-05 | 1909s
epoch 0 step 520/5234 | loss 1.3695 | lr 1.96e-05 | 1951s
epoch 0 step 530/5234 | loss 1.5128 | lr 1.96e-05 | 1987s
epoch 0 step 540/5234 | loss 1.2663 | lr 1.96e-05 | 2027s
epoch 0 step 550/5234 | loss 1.1704 | lr 1.96e-05 | 2063s
epoch 0 step 560/5234 | loss 1.2217 | lr 1.96e-05 | 2101s
epoch 0 step 570/5234 | loss 1.5359 | lr 1.96e-05 | 2137s
epoch 0 step 580/5234 | loss 1.2564 | lr 1.95e-05 | 2174s
epoch 0 step 590/5234 | loss 1.3060 | lr 1.95e-05 | 2212s
epoch 0 step 600/5234 | loss 1.2690 | lr 1.95e-05 | 2248s
epoch 0 step 610/5234 | loss 1.4700 | lr 1.95e-05 | 2285s
epoch 0 step 620/5234 | loss 1.2082 | lr 1.95e-05 | 2321s
epoch 0 step 630/5234 | loss 1.1240 | lr 1.94e-05 | 2359s
epoch 0 step 640/5234 | loss 1.2337 | lr 1.94e-05 | 2396s
epoch 0 step 650/5234 | loss 1.2824 | lr 1.94e-05 | 2433s
epoch 0 step 660/5234 | loss 1.3071 | lr 1.94e-05 | 2469s
epoch 0 step 670/5234 | loss 1.2897 | lr 1.94e-05 | 2504s
epoch 0 step 680/5234 | loss 1.4292 | lr 1.94e-05 | 2542s
epoch 0 step 690/5234 | loss 1.4439 | lr 1.93e-05 | 2579s
epoch 0 step 700/5234 | loss 1.3963 | lr 1.93e-05 | 2615s
epoch 0 step 710/5234 | loss 1.3992 | lr 1.93e-05 | 2654s
epoch 0 step 720/5234 | loss 1.4022 | lr 1.93e-05 | 2691s
epoch 0 step 730/5234 | loss 1.3720 | lr 1.92e-05 | 2730s
